YEAR.Q,FCP,FYDP,REALFOR,ARBLOS2,DLOGPCPT,DMIMS
"1971-1",381.01209999999998,470.52480818414318,NA,NA,NA,0
"1971-2",372.34640000000002,460.58055009823181,NA,NA,0.0086,0
"1971-3",371.42959999999999,467.08714285714291,NA,-0.00050000000000000001,-0.0011999999999999999,0
"1971-4",368.1078,457.24766791044777,NA,0.00029999999999999997,-0.0111,0
"1972-1",363.13339999999999,464.75757575757575,NA,0.00069999999999999999,-0.015599999999999999,0
"1972-2",367.87459999999999,484.79972875226042,NA,0,-0.0152,0
"1972-3",379.62779999999998,507.61429205503771,NA,-0.00050000000000000001,-0.0123,0
"1972-4",381.2962,506.30326797385618,NA,-0.00059999999999999995,-0.012,0
"1973-1",394.84019999999998,517.04901960784309,2019.7198000000001,-0.0011999999999999999,-0.0079000000000000008,0
"1973-2",398.721,532.43895348837214,2097.7139000000002,-0.00069999999999999999,-0.0037000000000000002,0
"1973-3",406.94220000000001,519.02389631429719,2138.9061999999999,-0.00029999999999999997,-0.0043,0
"1973-4",405.36869999999999,522.70694389956839,2133.2761999999998,-0.00089999999999999998,0.0028999999999999998,0
"1974-1",401.66539999999998,509.86689163854521,2099.2204000000002,-0.0014,0.0167,0
"1974-2",399.75330000000002,499.67599999999993,2126.0698000000002,0,0.0022000000000000001,0
"1974-3",381.47179999999997,506.11820083682005,2074.9621999999999,0.0025000000000000001,0.014,0
"1974-4",377.07749999999999,497.19946091644209,2125.3533000000002,0.0044000000000000003,0.0067000000000000002,0
"1975-1",388.90069999999997,518.48497854077254,2147.1176,0.0038999999999999998,-0.0070000000000000001,0
"1975-2",392.40690000000001,521.24716920090589,2220.7195999999999,0.0023999999999999998,-0.0068999999999999999,0
"1975-3",398.68220000000002,520.85451080050825,2215.2213000000002,0.0015,-0.0085000000000000006,0
"1975-4",432.5462,575.57165554496351,2259.3856000000001,0.00050000000000000001,-0.026599999999999999,1
"1976-1",425.19159999999999,572.57502301319425,2242.5772000000002,-0.0014,0.0086999999999999994,-1
"1976-2",440.98649999999998,568.73356911287954,2268.9836,-0.0022000000000000001,0.0146,0
"1976-3",436.19999999999999,547.31297265852243,2289.6188000000002,0.0001,-0.0121,0
"1976-4",435.2099,554.00564493367199,2328.5207999999998,0.0014,0.0051999999999999998,0
"1977-1",440.5505,534.04599612080915,2322.5128,0.00069999999999999999,-0.0064999999999999997,0
"1977-2",437.06560000000002,572.65525672371643,2375.1837,0.0001,-0.0047000000000000002,0
"1977-3",460.23719999999997,591.91473487876362,2415.9405999999999,0.00069999999999999999,-0.0045999999999999999,0
"1977-4",430.02269999999999,593.78501291989664,2433.4126000000001,0.00069999999999999999,0.0070000000000000001,0
"1978-1",442.14080000000001,573.85495794035182,2518.4735000000001,0.001,-0.0099000000000000008,0
"1978-2",452.50720000000001,591.13038038038042,2574.5124999999998,0.00050000000000000001,-0.0045999999999999999,0
"1978-3",460.9393,597.14918759231909,2582.9829,-0.0001,-0.0064000000000000003,0
"1978-4",445.48059999999998,602.69343065693431,2583.1547,-0.00020000000000000001,-0.010699999999999999,0
"1979-1",459.09989999999999,590.48686723973253,2600.9515999999999,-0.0012999999999999999,-0.0033,0
"1979-2",461.72070000000002,596.50322878228781,2647.4576999999999,-0.0011000000000000001,0.012999999999999999,0
"1979-3",449.77370000000002,594.45047640150688,2619.7827000000002,-0.0011999999999999999,0.018700000000000001,0
"1979-4",456.37369999999999,595.35382603008497,2642.0147999999999,-0.00059999999999999995,-0.0050000000000000001,0
"1980-1",453.03840000000002,578.64589536367498,2585.6925000000001,0,0.0040000000000000001,0
"1980-2",440.1884,590.48080553807415,2572.2561999999998,0.0014,-0.0067000000000000002,0
"1980-3",440.47359999999998,566.50614250614251,2600.7999,0.0033,0.0041999999999999997,0
"1980-4",441.98770000000002,581.60115953618549,2569.1547,0.0023,0.0041000000000000003,0
"1981-1",435.71179999999998,569.50984936268821,2482.6124,0.001,0.0152,0
"1981-2",434.74669999999998,573.87757009345785,2449.5374000000002,0.001,0.0134,0
"1981-3",434.78309999999999,579.03347969264553,2471.6241,0.0014,0.0027000000000000001,0
"1981-4",441.05439999999999,583.40272132885673,2461.2618000000002,0.00040000000000000002,0.016199999999999999,0
"1982-1",441.09469999999999,589.9119821213684,2391.3606,0.00020000000000000001,0.0094999999999999998,0
"1982-2",444.11509999999998,597.80789429103845,2397.8330999999998,0.0012999999999999999,-0.0033,0
"1982-3",444.721,620.73788509575354,2383.9421000000002,0.0012999999999999999,-0.00040000000000000002,0
"1982-4",441.58920000000001,617.50218836116062,2425.9742000000001,0.00050000000000000001,0.0099000000000000008,0
"1983-1",443.12819999999999,616.24951892238607,2487.75,-0.00029999999999999997,-0.0061000000000000004,0
"1983-2",447.63780000000003,629.43994923052514,2586.2292000000002,0.00059999999999999995,-0.0057999999999999996,0
"1983-3",454.9203,620.14146952843487,2597.0034999999998,0.00089999999999999998,-0.0035999999999999999,0
"1983-4",461.60570000000001,627.79706601466989,2598.6716000000001,0.0001,0.0091000000000000004,0
"1984-1",466.91500000000002,630.15645645645634,2687.3008,-0.00020000000000000001,0.0019,0
"1984-2",470.23219999999998,629.76602658788772,2686.3562999999999,-0.0001,0.0012999999999999999,0
"1984-3",465.0822,648.93230230522329,2722.1604000000002,0,-0.0025999999999999999,0
"1984-4",474.55459999999999,643.96648928520062,2789.9335999999998,-0.00040000000000000002,-0.0001,0
"1985-1",478.73140000000001,632.23586109142445,2775.3881999999999,-0.00040000000000000002,0.00040000000000000002,0
