,EFKRKS,ENL,FIPMXE,FY,IBZ,KP,PCP,UNR,TT,lkp,dlkp,lfy,dlfy
"1971-1",104.95130159999999,-4.2590993299999997,40.755760889999998,661.8978224,0.11170769,0.20994639000000001,0.19146157,0.014728820367557099,0.97871364314754195,-1.5609030665698989,#N/A,6.4951111971965165,#N/A
"1971-2",104.1074321,-3.55814845,35.187515240000003,673.85889499999996,0.11410769,0.21471382999999999,0.19626858999999999,0.0152450887874743,1.02210191707371,-1.5384491607085513,0.022453905861347545,6.5130207343951669,0.017909537198650405
"1971-3",103.2034658,-2.07039639,40.94503203,683.18276649999996,0.11206154,0.22152178,0.20070373,0.015586266881550801,1.0342353103094299,-1.507234364759876,0.031214795948675267,6.5267624174782268,0.013741683083059897
"1971-4",103.0367991,-2.8643546400000002,40.445705580000002,677.53331609999998,0.10928333,0.23029968000000001,0.20478347999999999,0.016741708580872899,1.0612095212258299,-1.4683738616484299,0.038860503111446176,6.5184587266001532,-0.0083036908780735885
"1972-1",102.69979859999999,0.23169929,34.908521219999997,680.53167829999995,0.11350768999999999,0.24224224999999999,0.20903574999999999,0.017520035170502199,1.0606316207353701,-1.4178170204670744,0.050556841181355505,6.5228743725142779,0.0044156459141246884
"1972-2",102.4297333,1.3581689299999999,32.54640577,701.15353259999995,0.11033076999999999,0.25740338000000001,0.21357661,0.0162902917271327,1.0362795716778299,-1.3571108525931943,0.060706167873880057,6.5527268824541984,0.029852509939920502
"1972-3",103.49356589999999,-2.1232169399999998,46.076379580000001,720.48160459999997,0.10903077,0.25969576999999999,0.21882692000000001,0.0158494144980398,1.04018688454969,-1.3482444484707294,0.008866404122464866,6.5799198836771415,0.027193001222943103
"1972-4",105.0147018,-1.45465114,39.62280054,717.23171739999998,0.10692308,0.26814757,0.22498865000000001,0.0113748002135176,1.0485735721804399,-1.3162178156863764,0.032026632784353026,6.5753989646795095,-0.0045209189976320729
"1973-1",106.18853249999999,-2.14572582,43.915934739999997,726.22368500000005,0.12084669000000001,0.27889111999999999,0.23134845000000001,0.0080886243692715899,1.06740022807242,-1.2769338242245267,0.039283991461849688,6.5878580734304775,0.012459108750968007
"1973-2",107.3753001,-4.3103236799999998,44.763334020000002,728.21961659999999,0.1223639,0.29127128000000002,0.23858041999999999,0.0107123438008146,1.07486066155344,-1.2335002123936158,0.043433611830910879,6.5906026738569388,0.0027446004264612966
"1973-3",108.8047028,0.32039896000000001,50.591035189999999,730.64912419999996,0.1343734,0.30580566999999997,0.24452932999999999,0.0114993963624741,1.04049212004097,-1.1848054441286553,0.048694768264960553,6.5939333502612145,0.0033306764042757564
"1973-4",108.0671972,-5.4003486799999996,53.48175955,734.3792105,0.14080229,0.31027825999999997,0.25198545,0.0094996396465758994,1.0076611158016699,-1.1702857712132719,0.014519672915383364,6.599025530762896,0.0050921805016814758
"1974-1",105.3670324,-10.610011610000001,55.232673140000003,728.46247289999997,0.15473559000000001,0.30889169999999999,0.2618915,0.0095693542006977297,0.94723639901865497,-1.1747645489556606,-0.0044787777423886954,6.5909361114738365,-0.0080894192890594852
"1974-2",107.59213509999999,-7.6449959300000003,49.774431280000002,730.41274009999995,0.17799118,0.30280530999999999,0.26941767999999999,0.016321537120265,0.941160517744145,-1.194665221244994,-0.019900672289333343,6.5936097717628108,0.0026736602889743111
"1974-3",108.4736328,-4.2362911099999998,40.795956740000001,714.97976800000004,0.17056470000000001,0.30631849,0.28215708,0.025543360337392001,0.91634991638151797,-1.1831299013107532,0.011535319934240729,6.5722542457901572,-0.021355525972653666
"1974-4",109.4563675,-0.71269877000000004,37.862196089999998,705.69036649999998,0.15222730000000001,0.32524810999999998,0.29279609000000001,0.038436892309508697,0.92438664874590704,-1.1231669725210869,0.059962928789666359,6.5591765669287714,-0.013077678861385778
"1975-1",110.29389949999999,0.0059852600000000001,35.498622140000002,697.08219399999996,0.13422759000000001,0.34630416000000003,0.29955208999999999,0.048961001258602498,0.94314912033221399,-1.0604378149401663,0.062729157580920569,6.5469033292024195,-0.012273237726351915
"1975-2",111.45073189999999,0.056310659999999998,33.399038140000002,695.29430190000005,0.13348049000000001,0.36279736000000001,0.30664169000000002,0.050577052779145398,0.96583923350114698,-1.013910837504125,0.046526977436041284,6.5443352119038378,-0.0025681172985816403
"1975-3",110.22476709999999,-3.36865747,38.392680769999998,699.02380310000001,0.12841319000000001,0.37952921000000001,0.31324633000000002,0.050451641442200899,0.98068587487439196,-0.96882371541149781,0.045087122092627219,6.5496847947298402,0.005349582826002397
"1975-4",109.50739799999999,-9.5936367699999998,52.646960329999999,737.18538679999995,0.12883569,0.37715317999999998,0.31218736000000002,0.050442431654510303,0.99193836069082297,-0.97510386105955216,-0.0062801456480543472,6.6028394030273043,0.053154608297464101
"1976-1",108.8413645,-11.920383040000001,46.140322660000002,744.52566449999995,0.14134448999999999,0.38874419999999998,0.32571330999999998,0.048636513656715903,1.00628878912483,-0.94483373521413971,0.030270125845412443,6.6127473236588594,0.0099079206315551005
"1976-2",112.25000249999999,-11.7289618,48.267794279999997,767.60720060000006,0.1531187,0.39569968,0.33941602999999998,0.047828329274857903,0.96951966148440305,-0.92709973928454004,0.017733995929599677,6.643278144756561,0.030530821097701555
"1976-3",111.97833249999999,-12.05700691,45.59650895,746.14064810000002,0.16057868,0.40359547000000001,0.34550219999999998,0.050598151122125803,0.95473196619832301,-0.90734221454981523,0.019757524734724807,6.6149141187600993,-0.028364025996461706
